w_signal	w_4b_cut	seed	signal_ratio	noise_scale
0.7850329	0.6000000000000001	2	0.03	0.15
0.8346093	0.6500000000000001	2	0.03	0.15
0.88873094	0.7000000000000001	2	0.03	0.15
0.9194869	0.7500000000000001	2	0.03	0.15
0.95520693	0.8	2	0.03	0.15
0.97644484	0.8500000000000001	2	0.03	0.15
0.99202496	0.9000000000000001	2	0.03	0.15
1.0000002	0.9500000000000001	2	0.03	0.15
0.13175675	0.05	3	0.03	0.1
0.21703549	0.1	3	0.03	0.1
0.29505885	0.15000000000000002	3	0.03	0.1
0.37625885	0.2	3	0.03	0.1
0.43681324	0.25	3	0.03	0.1
0.50802755	0.3	3	0.03	0.1
0.5630974	0.35000000000000003	3	0.03	0.1
0.6092972	0.4	3	0.03	0.1
0.6517576	0.45	3	0.03	0.1
0.69598114	0.5	3	0.03	0.1
0.7382739	0.55	3	0.03	0.1
0.7682427	0.6000000000000001	3	0.03	0.1
0.816524	0.6500000000000001	3	0.03	0.1
0.8497503	0.7000000000000001	3	0.03	0.1
0.8913761	0.7500000000000001	3	0.03	0.1
0.93572897	0.8	3	0.03	0.1
0.9604282	0.8500000000000001	3	0.03	0.1
0.98379433	0.9000000000000001	3	0.03	0.1
0.9999994	0.9500000000000001	3	0.03	0.1
0.20507985	0.05	3	0.03	0.05
0.32028118	0.1	3	0.03	0.05
0.39387637	0.15000000000000002	3	0.03	0.05
0.46713877	0.2	3	0.03	0.05
0.5364799	0.25	3	0.03	0.05
0.5825968	0.3	3	0.03	0.05
0.6250047	0.35000000000000003	3	0.03	0.05
0.66077954	0.4	3	0.03	0.05
0.71004117	0.45	3	0.03	0.05
0.7473368	0.5	3	0.03	0.05
0.78891224	0.55	3	0.03	0.05
0.8260161	0.6000000000000001	3	0.03	0.05
0.8553012	0.6500000000000001	3	0.03	0.05
0.8919469	0.7000000000000001	3	0.03	0.05
0.9216373	0.7500000000000001	3	0.03	0.05
0.94586855	0.8	3	0.03	0.05
0.9672607	0.8500000000000001	3	0.03	0.05
0.9854328	0.9000000000000001	3	0.03	0.05
0.9999992	0.9500000000000001	3	0.03	0.05
0.08506905	0.05	3	0.03	0.2
0.17100655	0.1	3	0.03	0.2
0.24542353	0.15000000000000002	3	0.03	0.2
0.30909988	0.2	3	0.03	0.2
0.38445482	0.25	3	0.03	0.2
0.45237166	0.3	3	0.03	0.2
0.5008103	0.35000000000000003	3	0.03	0.2
0.5588146	0.4	3	0.03	0.2
0.6134713	0.45	3	0.03	0.2
0.663087	0.5	3	0.03	0.2
0.7074478	0.55	3	0.03	0.2
0.746374	0.6000000000000001	3	0.03	0.2
0.79610837	0.6500000000000001	3	0.03	0.2
0.84309965	0.7000000000000001	3	0.03	0.2
0.89255565	0.7500000000000001	3	0.03	0.2
0.93715084	0.8	3	0.03	0.2
0.96376175	0.8500000000000001	3	0.03	0.2
0.9836964	0.9000000000000001	3	0.03	0.2
0.9999994	0.9500000000000001	3	0.03	0.2
0.09042042	0.05	3	0.03	0.15
0.17600669	0.1	3	0.03	0.15
0.2560513	0.15000000000000002	3	0.03	0.15
0.32485527	0.2	3	0.03	0.15
0.39815497	0.25	3	0.03	0.15
0.46285218	0.3	3	0.03	0.15
0.50571555	0.35000000000000003	3	0.03	0.15
0.5782585	0.4	3	0.03	0.15
0.6222538	0.45	3	0.03	0.15
0.6650328	0.5	3	0.03	0.15
0.7126198	0.55	3	0.03	0.15
0.74667263	0.6000000000000001	3	0.03	0.15
0.7943418	0.6500000000000001	3	0.03	0.15
0.83791924	0.7000000000000001	3	0.03	0.15
0.8843695	0.7500000000000001	3	0.03	0.15
0.93233633	0.8	3	0.03	0.15
0.96375406	0.8500000000000001	3	0.03	0.15
0.9836964	0.9000000000000001	3	0.03	0.15
0.9999994	0.9500000000000001	3	0.03	0.15
0.04231834	0.05	4	0.03	0.1
0.089691855	0.1	4	0.03	0.1
0.12895575	0.15000000000000002	4	0.03	0.1
0.1763482	0.2	4	0.03	0.1
0.23326863	0.25	4	0.03	0.1
0.2990287	0.3	4	0.03	0.1
0.36986384	0.35000000000000003	4	0.03	0.1
0.44656268	0.4	4	0.03	0.1
0.5240181	0.45	4	0.03	0.1
0.58976877	0.5	4	0.03	0.1
0.6649782	0.55	4	0.03	0.1
0.7411598	0.6000000000000001	4	0.03	0.1
0.81462437	0.6500000000000001	4	0.03	0.1
0.88510704	0.7000000000000001	4	0.03	0.1
0.9257853	0.7500000000000001	4	0.03	0.1
0.9583542	0.8	4	0.03	0.1
0.98384434	0.8500000000000001	4	0.03	0.1
0.99427736	0.9000000000000001	4	0.03	0.1
1.0000001	0.9500000000000001	4	0.03	0.1
0.0015709314	0.05	4	0.03	0.05
0.01118572	0.1	4	0.03	0.05
0.030698007	0.15000000000000002	4	0.03	0.05
0.05326291	0.2	4	0.03	0.05
0.08248275	0.25	4	0.03	0.05
0.12432	0.3	4	0.03	0.05
0.18407935	0.35000000000000003	4	0.03	0.05
0.28692287	0.4	4	0.03	0.05
0.39301142	0.45	4	0.03	0.05
0.4768328	0.5	4	0.03	0.05
0.58992916	0.55	4	0.03	0.05
0.7016082	0.6000000000000001	4	0.03	0.05
0.80897087	0.6500000000000001	4	0.03	0.05
0.890338	0.7000000000000001	4	0.03	0.05
0.94666845	0.7500000000000001	4	0.03	0.05
0.97855824	0.8	4	0.03	0.05
0.994008	0.8500000000000001	4	0.03	0.05
0.9986185	0.9000000000000001	4	0.03	0.05
0.9999998	0.9500000000000001	4	0.03	0.05
0.055370986	0.05	4	0.03	0.15
0.09955419	0.1	4	0.03	0.15
0.1505138	0.15000000000000002	4	0.03	0.15
