w_signal,w_4b_cut,seed,signal_ratio,n_3b,noise_scale
0.044143364,0.2,5,0.01,100000,1.0
0.085230805,0.25,5,0.01,100000,1.0
0.11091922,0.30000000000000004,5,0.01,100000,1.0
0.15765613,0.35000000000000003,5,0.01,100000,1.0
0.24782352,0.4,5,0.01,100000,1.0
0.34913635,0.45,5,0.01,100000,1.0
0.46366668,0.5,5,0.01,100000,1.0
0.6130809,0.55,5,0.01,100000,1.0
0.7412218,0.6000000000000001,5,0.01,100000,1.0
0.834805,0.65,5,0.01,100000,1.0
0.92209977,0.7000000000000001,5,0.01,100000,1.0
0.94533235,0.75,5,0.01,100000,1.0
0.97036296,0.8,5,0.01,100000,1.0
0.981022,0.8500000000000001,5,0.01,100000,1.0
0.98779154,0.9,5,0.01,100000,1.0
0.99474835,0.9500000000000001,5,0.01,100000,1.0
1.0,1.0,5,0.01,100000,1.0
0.0,0.0,5,0.01,100000,2.0
0.001769033,0.05,5,0.01,100000,2.0
0.0035137061,0.1,5,0.01,100000,2.0
0.005237511,0.15000000000000002,5,0.01,100000,2.0
0.005237511,0.2,5,0.01,100000,2.0
0.008834795,0.25,5,0.01,100000,2.0
0.01274054,0.30000000000000004,5,0.01,100000,2.0
0.045655984,0.35000000000000003,5,0.01,100000,2.0
0.12324695,0.4,5,0.01,100000,2.0
0.2866924,0.45,5,0.01,100000,2.0
0.5031106,0.5,5,0.01,100000,2.0
0.6751287,0.55,5,0.01,100000,2.0
0.82821846,0.6000000000000001,5,0.01,100000,2.0
0.90143174,0.65,5,0.01,100000,2.0
0.94950753,0.7000000000000001,5,0.01,100000,2.0
0.97082293,0.75,5,0.01,100000,2.0
0.98109895,0.8,5,0.01,100000,2.0
0.99319464,0.8500000000000001,5,0.01,100000,2.0
0.99659944,0.9,5,0.01,100000,2.0
1.0,0.9500000000000001,5,0.01,100000,2.0
1.0,1.0,5,0.01,100000,2.0
0.0,0.0,5,0.01,100000,3.0
0.0,0.05,5,0.01,100000,3.0
0.001769033,0.1,5,0.01,100000,3.0
0.005237511,0.15000000000000002,5,0.01,100000,3.0
0.005237511,0.2,5,0.01,100000,3.0
0.005237511,0.25,5,0.01,100000,3.0
0.0069619003,0.30000000000000004,5,0.01,100000,3.0
0.03441392,0.35000000000000003,5,0.01,100000,3.0
0.12825088,0.4,5,0.01,100000,3.0
0.31122994,0.45,5,0.01,100000,3.0
0.49466652,0.5,5,0.01,100000,3.0
0.65492237,0.55,5,0.01,100000,3.0
0.8135618,0.6000000000000001,5,0.01,100000,3.0
0.8976256,0.65,5,0.01,100000,3.0
0.94565827,0.7000000000000001,5,0.01,100000,3.0
0.97225106,0.75,5,0.01,100000,3.0
0.97942173,0.8,5,0.01,100000,3.0
0.99319464,0.8500000000000001,5,0.01,100000,3.0
0.99659944,0.9,5,0.01,100000,3.0
1.0,0.9500000000000001,5,0.01,100000,3.0
1.0,1.0,5,0.01,100000,3.0
0.0,0.0,6,0.01,100000,1.0
0.023854932,0.05,6,0.01,100000,1.0
0.055329498,0.1,6,0.01,100000,1.0
0.088507906,0.15000000000000002,6,0.01,100000,1.0
0.12148577,0.2,6,0.01,100000,1.0
0.17361674,0.25,6,0.01,100000,1.0
0.23040831,0.30000000000000004,6,0.01,100000,1.0
0.29354954,0.35000000000000003,6,0.01,100000,1.0
0.34531042,0.4,6,0.01,100000,1.0
0.4093497,0.45,6,0.01,100000,1.0
0.46493834,0.5,6,0.01,100000,1.0
0.54305714,0.55,6,0.01,100000,1.0
0.60725665,0.6000000000000001,6,0.01,100000,1.0
0.677016,0.65,6,0.01,100000,1.0
0.7360059,0.7000000000000001,6,0.01,100000,1.0
0.8090158,0.75,6,0.01,100000,1.0
0.86325306,0.8,6,0.01,100000,1.0
0.9124959,0.8500000000000001,6,0.01,100000,1.0
0.95316166,0.9,6,0.01,100000,1.0
0.9811023,0.9500000000000001,6,0.01,100000,1.0
1.0,1.0,6,0.01,100000,1.0
0.0,0.0,6,0.01,100000,2.0
0.003696639,0.05,6,0.01,100000,2.0
0.011142474,0.1,6,0.01,100000,2.0
0.03212007,0.15000000000000002,6,0.01,100000,2.0
0.056885753,0.2,6,0.01,100000,2.0
0.09164642,0.25,6,0.01,100000,2.0
0.17365468,0.30000000000000004,6,0.01,100000,2.0
0.25911418,0.35000000000000003,6,0.01,100000,2.0
0.35938063,0.4,6,0.01,100000,2.0
0.44985014,0.45,6,0.01,100000,2.0
0.53221464,0.5,6,0.01,100000,2.0
0.6137582,0.55,6,0.01,100000,2.0
0.7242721,0.6000000000000001,6,0.01,100000,2.0
0.8010683,0.65,6,0.01,100000,2.0
0.87309456,0.7000000000000001,6,0.01,100000,2.0
0.91783714,0.75,6,0.01,100000,2.0
0.95658773,0.8,6,0.01,100000,2.0
0.9826373,0.8500000000000001,6,0.01,100000,2.0
0.99659634,0.9,6,0.01,100000,2.0
0.9983363,0.9500000000000001,6,0.01,100000,2.0
1.0,1.0,6,0.01,100000,2.0
0.0,0.0,6,0.01,100000,3.0
0.0,0.05,6,0.01,100000,3.0
0.0,0.1,6,0.01,100000,3.0
0.0,0.15000000000000002,6,0.01,100000,3.0
0.01933253,0.2,6,0.01,100000,3.0
0.044501532,0.25,6,0.01,100000,3.0
0.093456954,0.30000000000000004,6,0.01,100000,3.0
0.1818656,0.35000000000000003,6,0.01,100000,3.0
0.2789823,0.4,6,0.01,100000,3.0
0.3951531,0.45,6,0.01,100000,3.0
0.53764147,0.5,6,0.01,100000,3.0
0.60279477,0.55,6,0.01,100000,3.0
0.72032833,0.6000000000000001,6,0.01,100000,3.0
0.81279075,0.65,6,0.01,100000,3.0
0.8724878,0.7000000000000001,6,0.01,100000,3.0
0.9241163,0.75,6,0.01,100000,3.0
0.9674862,0.8,6,0.01,100000,3.0
0.9930873,0.8500000000000001,6,0.01,100000,3.0
0.9982919,0.9,6,0.01,100000,3.0
1.0,0.9500000000000001,6,0.01,100000,3.0
1.0,1.0,6,0.01,100000,3.0
0.0,0.0,7,0.01,100000,1.0
0.03526408,0.05,7,0.01,100000,1.0
0.081914164,0.1,7,0.01,100000,1.0
0.15736003,0.15000000000000002,7,0.01,100000,1.0
0.2245989,0.2,7,0.01,100000,1.0
0.3058695,0.25,7,0.01,100000,1.0
0.39268193,0.30000000000000004,7,0.01,100000,1.0
0.45036924,0.35000000000000003,7,0.01,100000,1.0
0.5128672,0.4,7,0.01,100000,1.0
0.57960796,0.45,7,0.01,100000,1.0
0.63384897,0.5,7,0.01,100000,1.0
0.6893504,0.55,7,0.01,100000,1.0
0.72297096,0.6000000000000001,7,0.01,100000,1.0
0.7757579,0.65,7,0.01,100000,1.0
0.8095811,0.7000000000000001,7,0.01,100000,1.0
0.83395714,0.75,7,0.01,100000,1.0
0.8689288,0.8,7,0.01,100000,1.0
0.8970899,0.8500000000000001,7,0.01,100000,1.0
0.94272894,0.9,7,0.01,100000,1.0
0.9802378,0.9500000000000001,7,0.01,100000,1.0
1.0,1.0,7,0.01,100000,1.0
0.0,0.0,7,0.01,100000,2.0
0.015054452,0.05,7,0.01,100000,2.0
0.038211312,0.1,7,0.01,100000,2.0
0.07077327,0.15000000000000002,7,0.01,100000,2.0
0.1238,0.2,7,0.01,100000,2.0
0.1843009,0.25,7,0.01,100000,2.0
0.26194084,0.30000000000000004,7,0.01,100000,2.0
0.36375928,0.35000000000000003,7,0.01,100000,2.0
0.4619263,0.4,7,0.01,100000,2.0
0.53551126,0.45,7,0.01,100000,2.0
0.61613595,0.5,7,0.01,100000,2.0
0.6949829,0.55,7,0.01,100000,2.0
0.76611614,0.6000000000000001,7,0.01,100000,2.0
0.82760936,0.65,7,0.01,100000,2.0
0.8639726,0.7000000000000001,7,0.01,100000,2.0
0.89410114,0.75,7,0.01,100000,2.0
0.91749334,0.8,7,0.01,100000,2.0
0.9301233,0.8500000000000001,7,0.01,100000,2.0
0.94828206,0.9,7,0.01,100000,2.0
0.97296196,0.9500000000000001,7,0.01,100000,2.0
1.0,1.0,7,0.01,100000,2.0
0.0,0.0,7,0.01,100000,3.0
0.0,0.05,7,0.01,100000,3.0
0.0040978454,0.1,7,0.01,100000,3.0
0.013703902,0.15000000000000002,7,0.01,100000,3.0
0.03542518,0.2,7,0.01,100000,3.0
0.056735314,0.25,7,0.01,100000,3.0
0.11881204,0.30000000000000004,7,0.01,100000,3.0
0.20529188,0.35000000000000003,7,0.01,100000,3.0
0.3116523,0.4,7,0.01,100000,3.0
0.42081928,0.45,7,0.01,100000,3.0
0.5743846,0.5,7,0.01,100000,3.0
0.67858666,0.55,7,0.01,100000,3.0
0.752569,0.6000000000000001,7,0.01,100000,3.0
0.82234347,0.65,7,0.01,100000,3.0
0.8654317,0.7000000000000001,7,0.01,100000,3.0
0.8871803,0.75,7,0.01,100000,3.0
0.91390985,0.8,7,0.01,100000,3.0
0.9410513,0.8500000000000001,7,0.01,100000,3.0
0.9625388,0.9,7,0.01,100000,3.0
0.9929517,0.9500000000000001,7,0.01,100000,3.0
1.0,1.0,7,0.01,100000,3.0
0.0,0.0,8,0.01,100000,1.0
0.15398374,0.05,8,0.01,100000,1.0
0.22589734,0.1,8,0.01,100000,1.0
0.30606055,0.15000000000000002,8,0.01,100000,1.0
0.38109726,0.2,8,0.01,100000,1.0
0.45818684,0.25,8,0.01,100000,1.0
0.5381045,0.30000000000000004,8,0.01,100000,1.0
0.58781797,0.35000000000000003,8,0.01,100000,1.0
0.67382693,0.4,8,0.01,100000,1.0
0.7172681,0.45,8,0.01,100000,1.0
0.78352886,0.5,8,0.01,100000,1.0
0.83694583,0.55,8,0.01,100000,1.0
0.8616316,0.6000000000000001,8,0.01,100000,1.0
0.8966895,0.65,8,0.01,100000,1.0
0.91428953,0.7000000000000001,8,0.01,100000,1.0
0.93303406,0.75,8,0.01,100000,1.0
0.95031774,0.8,8,0.01,100000,1.0
0.9624686,0.8500000000000001,8,0.01,100000,1.0
0.98126924,0.9,8,0.01,100000,1.0
0.9897219,0.9500000000000001,8,0.01,100000,1.0
1.0,1.0,8,0.01,100000,1.0
0.0,0.0,8,0.01,100000,2.0
0.0017361777,0.05,8,0.01,100000,2.0
0.0017361777,0.1,8,0.01,100000,2.0
0.013420234,0.15000000000000002,8,0.01,100000,2.0
0.06585848,0.2,8,0.01,100000,2.0
0.15680434,0.25,8,0.01,100000,2.0
0.2395833,0.30000000000000004,8,0.01,100000,2.0
0.35375524,0.35000000000000003,8,0.01,100000,2.0
0.45376167,0.4,8,0.01,100000,2.0
0.59218866,0.45,8,0.01,100000,2.0
0.6933901,0.5,8,0.01,100000,2.0
0.7792948,0.55,8,0.01,100000,2.0
0.84004635,0.6000000000000001,8,0.01,100000,2.0
0.8882211,0.65,8,0.01,100000,2.0
0.9143865,0.7000000000000001,8,0.01,100000,2.0
0.94368863,0.75,8,0.01,100000,2.0
0.96939653,0.8,8,0.01,100000,2.0
0.9796218,0.8500000000000001,8,0.01,100000,2.0
0.99503064,0.9,8,0.01,100000,2.0
