w_signal	w_4b_cut	seed	signal_ratio	n_3b
0.6025974	0.4	3	0.03	100000
0.65196896	0.45	3	0.03	100000
0.70051944	0.5	3	0.03	100000
0.73647714	0.55	3	0.03	100000
0.7795835	0.6000000000000001	3	0.03	100000
0.815272	0.6500000000000001	3	0.03	100000
0.85783666	0.7000000000000001	3	0.03	100000
0.9052067	0.7500000000000001	3	0.03	100000
0.94505405	0.8	3	0.03	100000
0.96736443	0.8500000000000001	3	0.03	100000
0.9878663	0.9000000000000001	3	0.03	100000
0.99999976	0.9500000000000001	3	0.03	100000
0.16145039	0.05	3	0.04	100000
0.23153155	0.1	3	0.04	100000
0.2922394	0.15000000000000002	3	0.04	100000
0.3549852	0.2	3	0.04	100000
0.40456885	0.25	3	0.04	100000
0.47216767	0.3	3	0.04	100000
0.5314584	0.35000000000000003	3	0.04	100000
0.58696187	0.4	3	0.04	100000
0.6553337	0.45	3	0.04	100000
0.7160222	0.5	3	0.04	100000
0.79670346	0.55	3	0.04	100000
0.84113073	0.6000000000000001	3	0.04	100000
0.8926396	0.6500000000000001	3	0.04	100000
0.93408304	0.7000000000000001	3	0.04	100000
0.9666464	0.7500000000000001	3	0.04	100000
0.98507684	0.8	3	0.04	100000
0.9905547	0.8500000000000001	3	0.04	100000
0.99623704	0.9000000000000001	3	0.04	100000
0.99812853	0.9500000000000001	3	0.04	100000
0.20920436	0.05	3	0.05	100000
0.3438687	0.1	3	0.05	100000
0.44679427	0.15000000000000002	3	0.05	100000
0.5105766	0.2	3	0.05	100000
0.55923665	0.25	3	0.05	100000
0.60268253	0.3	3	0.05	100000
0.66253346	0.35000000000000003	3	0.05	100000
0.71469945	0.4	3	0.05	100000
0.7543478	0.45	3	0.05	100000
0.7890092	0.5	3	0.05	100000
0.83422613	0.55	3	0.05	100000
0.88845515	0.6000000000000001	3	0.05	100000
0.91230875	0.6500000000000001	3	0.05	100000
0.9419344	0.7000000000000001	3	0.05	100000
0.96378994	0.7500000000000001	3	0.05	100000
0.9756337	0.8	3	0.05	100000
0.988783	0.8500000000000001	3	0.05	100000
0.99600315	0.9000000000000001	3	0.05	100000
0.99881494	0.9500000000000001	3	0.05	100000
0.006605084	0.05	4	0.01	100000
0.019781213	0.1	4	0.01	100000
0.02668285	0.15000000000000002	4	0.01	100000
0.065906554	0.2	4	0.01	100000
0.1309648	0.25	4	0.01	100000
0.18344498	0.3	4	0.01	100000
0.28754896	0.35000000000000003	4	0.01	100000
0.35301375	0.4	4	0.01	100000
0.49304605	0.45	4	0.01	100000
0.57600856	0.5	4	0.01	100000
0.6816678	0.55	4	0.01	100000
0.7924752	0.6000000000000001	4	0.01	100000
0.8419251	0.6500000000000001	4	0.01	100000
0.88493174	0.7000000000000001	4	0.01	100000
0.93377256	0.7500000000000001	4	0.01	100000
0.9818203	0.8	4	0.01	100000
0.9940819	0.8500000000000001	4	0.01	100000
0.9999999	0.9000000000000001	4	0.01	100000
0.9999999	0.9500000000000001	4	0.01	100000
0.022179388	0.05	4	0.02	100000
0.074548826	0.1	4	0.02	100000
0.11147512	0.15000000000000002	4	0.02	100000
0.14126436	0.2	4	0.02	100000
0.18811595	0.25	4	0.02	100000
0.2316757	0.3	4	0.02	100000
0.3008498	0.35000000000000003	4	0.02	100000
0.35743803	0.4	4	0.02	100000
0.4726956	0.45	4	0.02	100000
0.55868196	0.5	4	0.02	100000
0.642867	0.55	4	0.02	100000
0.75055385	0.6000000000000001	4	0.02	100000
0.78565633	0.6500000000000001	4	0.02	100000
0.85399336	0.7000000000000001	4	0.02	100000
0.9052154	0.7500000000000001	4	0.02	100000
0.9425493	0.8	4	0.02	100000
0.97996867	0.8500000000000001	4	0.02	100000
0.9970015	0.9000000000000001	4	0.02	100000
0.9999993	0.9500000000000001	4	0.02	100000
0.026813813	0.05	4	0.03	100000
0.048857324	0.1	4	0.03	100000
0.06393206	0.15000000000000002	4	0.03	100000
0.10027453	0.2	4	0.03	100000
0.14224681	0.25	4	0.03	100000
0.23052359	0.3	4	0.03	100000
0.2833492	0.35000000000000003	4	0.03	100000
0.37982145	0.4	4	0.03	100000
0.47695026	0.45	4	0.03	100000
0.5579401	0.5	4	0.03	100000
0.64895046	0.55	4	0.03	100000
0.75116897	0.6000000000000001	4	0.03	100000
0.8389642	0.6500000000000001	4	0.03	100000
0.88167095	0.7000000000000001	4	0.03	100000
0.9307063	0.7500000000000001	4	0.03	100000
0.95749396	0.8	4	0.03	100000
0.9847747	0.8500000000000001	4	0.03	100000
0.99346447	0.9000000000000001	4	0.03	100000
0.9999998	0.9500000000000001	4	0.03	100000
0.051388748	0.05	4	0.04	100000
0.13200374	0.1	4	0.04	100000
0.20215407	0.15000000000000002	4	0.04	100000
0.26574802	0.2	4	0.04	100000
0.32535183	0.25	4	0.04	100000
0.39605707	0.3	4	0.04	100000
0.46647704	0.35000000000000003	4	0.04	100000
0.54535025	0.4	4	0.04	100000
0.6261388	0.45	4	0.04	100000
0.70497686	0.5	4	0.04	100000
0.77783567	0.55	4	0.04	100000
0.84352964	0.6000000000000001	4	0.04	100000
0.88679403	0.6500000000000001	4	0.04	100000
0.91176677	0.7000000000000001	4	0.04	100000
0.9501732	0.7500000000000001	4	0.04	100000
0.9833223	0.8	4	0.04	100000
0.9932241	0.8500000000000001	4	0.04	100000
0.99654907	0.9000000000000001	4	0.04	100000
1.0000002	0.9500000000000001	4	0.04	100000
0.12805109	0.05	4	0.05	100000
0.20277317	0.1	4	0.05	100000
0.27878898	0.15000000000000002	4	0.05	100000
0.3377709	0.2	4	0.05	100000
0.39752188	0.25	4	0.05	100000
0.46119714	0.3	4	0.05	100000
